Cuno,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,Total
003860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,2940,8940,11880,5940,0,6966,0,12050,28001,9800,7550,7550,16489,9484.38,23600,10475,166165.38
003861,0,0,0,0,0,0,3341.25,0,1215,0,0,0,0,640,0,0,0,2027.81,0,0,0,0,0,0,1494.9,765,1656,0,1012.5,2266,0,0,2362.5,0,870,954,5130,23734.96
003863,452.25,0,0,1450.55,0,1623.5,0,0,0,0,8314.5,1037,2052.75,0,0,5880.5,5565.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26376.55
003930,0,0,0,0,0,0,0,0,0,0,1153,0,0,0,0,0,0,0,0,0,0,0,0,-1916,1916,0,0,0,0,0,0,0,0,0,0,0,0,1153
0004079,0,0,0,0,0,0,0,0,0,0,0,0,6781.5,0,0,0,0,-7200,0,0,30914.38,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35995.88
004120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04214,0,0,0,0,0,0,0,22.5,0,0,0,2900,2110,6420,700,6208.75,9625.75,11035.75,10335.75,16097,23030.75,20660.75,19700.75,14909.5,9910,27811.9,8720,19084,7644,13364,13364,13364,17808,14022.83,11464,12904,10154,323371.98
04604,10814,10795,9404,13634,4843,6700.5,8910,5620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,71480.5
04730,0,0,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,1062,3235.5,0,0,0,0,0,0,0,0,0,0,0,2167.5,565.25,0,0,408.6,8118.85
0005219,0,0,0,0,4457.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4457.25
0005369,0,0,0,0,695,0,5715,5715,0,0,0,0,0,0,7290,7290,7290,7290,7290,7290,0,0,0,0,0,0,0,6885,6885,6885,6885,13770,0,0,0,0,0,97175
